  file_table         = D2Ising_MCMC_basic_L10.tab
  Jnn                =    1.000000    
  L, N_spin          =         10       100
  N_temperature_list =         31
  temperature_list   = 
             4.000000       3.900000       3.800000       3.700000       3.600000    
             3.500000       3.400000       3.300000       3.200000       3.100000    
             3.000000       2.900000       2.800000       2.700000       2.600000    
             2.500000       2.400000       2.300000       2.200000       2.100000    
             2.000000       1.900000       1.800000       1.700000       1.600000    
             1.500000       1.400000       1.300000       1.200000       1.100000    
             1.000000    
  seed_64bit         =       21680594623049
  N_mcs_discard, N_mcs_average =     500000    500000
  temperature  <E/N_spin>  <C/N_spin>  <chi/N_spin>  <abs_chi/N_spin>  <M/N_spin>  <|M|/N_spin>  <(M/N_spin)**2>  Binder_<M**4>/<M**2>**2  acceptance
   4.000000     -0.5574148      0.1718231       1.068725      0.3780871     -0.4792800E-03  0.1662100      0.4274925E-01   2.811290      0.6092044    
   3.900000     -0.5750554      0.1835833       1.165285      0.4099386      0.1343720E-02  0.1716401      0.4544794E-01   2.790956      0.5983124    
   3.800000     -0.5935606      0.1963286       1.264278      0.4434090      0.2906320E-02  0.1766394      0.4805101E-01   2.762363      0.5871229    
   3.700000     -0.6149298      0.2131712       1.397762      0.4890888      0.1103560E-02  0.1833633      0.5171839E-01   2.761713      0.5746608    
   3.600000     -0.6366039      0.2310320       1.560611      0.5433350      0.6466800E-03  0.1913696      0.5618240E-01   2.726726      0.5616398    
   3.500000     -0.6605178      0.2519763       1.745920      0.6031528     -0.1446200E-02  0.1999974      0.6110931E-01   2.692740      0.5475312    
   3.400000     -0.6878945      0.2758606       1.981141      0.6791098     -0.4776000E-03  0.2104027      0.6735904E-01   2.662462      0.5321157    
   3.300000     -0.7158713      0.3021795       2.250112      0.7655671      0.1945680E-02  0.2213454      0.7425748E-01   2.614896      0.5162851    
   3.200000     -0.7487077      0.3404294       2.636269      0.8855668      0.1714000E-02  0.2366969      0.8436355E-01   2.561087      0.4983742    
   3.100000     -0.7847936      0.3849263       3.124067       1.033474     -0.2846000E-03  0.2545751      0.9684616E-01   2.491365      0.4790494    
   3.000000     -0.8258462      0.4389310       3.791097       1.209618     -0.3684400E-02  0.2783126      0.1137465       2.376178      0.4575327    
   2.900000     -0.8722919      0.5138587       4.655950       1.442943      0.1224800E-03  0.3052494      0.1350226       2.272066      0.4340505    
   2.800000     -0.9295430      0.6174954       5.952512       1.733675     -0.2559200E-02  0.3437062      0.1666769       2.117620      0.4063238    
   2.700000     -0.9970028      0.7532326       7.784106       2.066758     -0.8637560E-02  0.3929924      0.2102455       1.933623      0.3746743    
   2.600000      -1.078835      0.9290581       10.32046       2.404922     -0.9167440E-02  0.4537488      0.2684159       1.745714      0.3380311    
   2.500000      -1.185091       1.141467       14.21923       2.629515      0.6812560E-02  0.5383209      0.3555272       1.526944      0.2928580    
   2.400000      -1.306911       1.284283       19.20509       2.505557     -0.1753820E-01  0.6333217      0.4612298       1.339248      0.2430640    
   2.300000      -1.435411       1.302323       24.96048       2.030013      0.4067488E-01  0.7273618      0.5757454       1.199705      0.1927092    
   2.200000      -1.559902       1.138456       31.18127       1.295304      0.2066240E-02  0.8108610      0.6859923       1.104029      0.1455763    
   2.100000      -1.664132      0.9192097       35.62037      0.6920935     -0.1629422      0.8718050      0.7745779       1.051486      0.1076505    
   2.000000      -1.745711      0.7172117       40.85337      0.3659790      0.1442410      0.9113470      0.8378729       1.026586      0.7913484E-01
   1.900000      -1.810109      0.5621911       31.25893      0.1972703     -0.5390694      0.9384921      0.8845155       1.014150      0.5731794E-01
   1.800000      -1.859821      0.4382035      0.1141670      0.1141670     -0.9570050      0.9570050      0.9179136       1.007937      0.4122822E-01
   1.700000      -1.898369      0.3404805       53.98360      0.6836566E-01 -0.1570017      0.9701590      0.9423708       1.004548      0.2909096E-01
   1.600000      -1.927584      0.2661098      0.4445691E-01  0.4445691E-01  0.9793844      0.9793844      0.9599051       1.002778      0.2025068E-01
   1.500000      -1.951434      0.1962162      0.2671117E-01  0.2671117E-01  0.9866003      0.9866003      0.9737808       1.001572      0.1332062E-01
   1.400000      -1.968142      0.1437413      0.1675596E-01  0.1675596E-01  0.9914053      0.9914053      0.9831191       1.000918      0.8585900E-02
   1.300000      -1.980232      0.1012335      0.1018570E-01  0.1018570E-01  0.9947627      0.9947627      0.9896853       1.000518      0.5203720E-02
   1.200000      -1.988618      0.6699433E-01  0.5898197E-02  0.5898197E-02  0.9970303      0.9970303      0.9941402       1.000277      0.2985440E-02
   1.100000      -1.993875      0.4215516E-01  0.3223673E-02  0.3223673E-02  0.9984223      0.9984223      0.9968825       1.000139      0.1570680E-02
   1.000000      -1.997182      0.2317082E-01  0.1552093E-02  0.1552093E-02  0.9992818      0.9992818      0.9985796       1.000061      0.7245200E-03
